Player,ERA
Dalton Buckingham,0.96
Drayton Brown,3.14
Jonathan Martinez,3.21
Cameron Bush,3.57
Rhett McCaffety,4.35
Otto Wofford,5.19
Austin Eaton,5.27
Sam Hall,5.28
Keller Eberly,5.4
DJ Burke,5.4
Matthew Tippie,5.48
Tony Robie,5.8
Taylor Seay,6.05
Peyton Zabel,6.21
Jack Stroud,7.71
Cameron O'Banan,7.71
Calen Graham,7.88
Nicholas Holbrook,13.5
Colby Diaz,13.5
Tyler Cooper,16.2
